,fl_date,op_carrier,iata,icao,state,state_name,airport,latitude,longitude,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
339,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,-1.0,-5.0,0.0,,,,,,
340,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,0.0,-26.0,0.0,,,,,,
341,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,0.0,-24.0,0.0,,,,,,
342,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,0.0,-22.0,0.0,,,,,,
343,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,1.0,-16.0,0.0,,,,,,
344,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,26.0,11.0,0.0,,,,,,
345,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,36.0,11.0,0.0,,,,,,
346,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,38.0,25.0,0.0,,25.0,0.0,0.0,0.0,0.0
347,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,45.0,20.0,0.0,,20.0,0.0,0.0,0.0,0.0
348,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,45.0,26.0,0.0,,26.0,0.0,0.0,0.0,0.0
349,2022-01-01,Endeavor Air Inc.,LGA,KLGA,NY,New York,LaGuardia Airport,40.775,-73.875,124.0,109.0,0.0,,109.0,0.0,0.0,0.0,0.0
350,2022-01-01,Endeavor Air Inc.,MBS,KMBS,MI,Michigan,MBS International Airport,43.5329,-84.0796,-10.0,1.0,0.0,,,,,,
351,2022-01-01,Endeavor Air Inc.,MBS,KMBS,MI,Michigan,MBS International Airport,43.5329,-84.0796,-5.0,-1.0,0.0,,,,,,
352,2022-01-01,Endeavor Air Inc.,MBS,KMBS,MI,Michigan,MBS International Airport,43.5329,-84.0796,-4.0,-9.0,0.0,,,,,,
353,2022-01-01,Endeavor Air Inc.,MDT,KMDT,PA,Pennsylvania,Harrisburg International Airport,40.1935,-76.7634,-10.0,-38.0,0.0,,,,,,
354,2022-01-01,Endeavor Air Inc.,MDT,KMDT,PA,Pennsylvania,Harrisburg International Airport,40.1935,-76.7634,-5.0,-14.0,0.0,,,,,,
355,2022-01-01,Endeavor Air Inc.,MDT,KMDT,PA,Pennsylvania,Harrisburg International Airport,40.1935,-76.7634,-3.0,-26.0,0.0,,,,,,
356,2022-01-01,Endeavor Air Inc.,MDW,KMDW,IL,Illinois,Chicago Midway International Airport,41.7861,-87.7525,,,1.0,B,,,,,
357,2022-01-01,Endeavor Air Inc.,MDW,KMDW,IL,Illinois,Chicago Midway International Airport,41.7861,-87.7525,,,1.0,B,,,,,
358,2022-01-01,Endeavor Air Inc.,MDW,KMDW,IL,Illinois,Chicago Midway International Airport,41.7861,-87.7525,-4.0,-21.0,0.0,,,,,,
359,2022-01-01,Endeavor Air Inc.,MDW,KMDW,IL,Illinois,Chicago Midway International Airport,41.7861,-87.7525,-4.0,-14.0,0.0,,,,,,
360,2022-01-01,Endeavor Air Inc.,MDW,KMDW,IL,Illinois,Chicago Midway International Airport,41.7861,-87.7525,0.0,2.0,0.0,,,,,,
361,2022-01-01,Endeavor Air Inc.,MEM,KMEM,TN,Tennessee,Memphis International Airport,35.0424,-89.9767,238.0,227.0,0.0,,0.0,12.0,0.0,0.0,215.0
362,2022-01-01,Endeavor Air Inc.,MGM,KMGM,AL,Alabama,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394,-10.0,-20.0,0.0,,,,,,
363,2022-01-01,Endeavor Air Inc.,MGM,KMGM,AL,Alabama,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394,-5.0,-21.0,0.0,,,,,,
364,2022-01-01,Endeavor Air Inc.,MGM,KMGM,AL,Alabama,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394,-5.0,-19.0,0.0,,,,,,
